"ad" "week" "day" "show" "screen" "tickets" "calls"
"dh" 2 5 5 10 31 0
"dh" 3 2 4 10 31 1
"dh" 4 3 2 6 56 0
"dh" 3 2 4 6 49 0
"dh" 2 7 2 7 65 0
"dh" 2 3 3 9 66 1
"dh" 1 4 3 10 52 0
"dh" 2 4 5 5 35 0
"dh" 1 7 2 6 53 0
"dh" 3 3 3 10 57 1
"dh" 1 5 2 5 35 0
"dh" 1 4 1 3 15 0
"dh" 3 6 4 3 43 1
"dh" 4 5 2 6 32 0
"dh" 3 4 4 2 19 0
"dh" 2 1 1 8 30 0
"dh" 3 1 1 5 37 2
"dh" 1 2 1 10 30 0
"dh" 4 1 4 6 47 0
"dh" 3 3 5 3 32 0
"dh" 3 1 4 10 32 0
"dh" 4 1 2 2 21 0
"dh" 4 2 5 5 36 0
"dh" 1 6 1 3 28 1
"dh" 3 4 3 10 43 0
"dh" 3 4 2 1 26 0
"dh" 2 5 1 8 29 0
"dh" 1 5 2 9 36 0
"dh" 1 3 5 2 23 0
"dh" 3 7 1 2 27 0
"dh" 2 2 5 3 17 0
"dh" 1 1 2 9 40 0
"dh" 1 3 1 5 71 1
"dh" 3 4 4 9 31 0
"dh" 1 6 4 3 23 0
"dh" 1 1 1 10 53 0
"dh" 2 2 1 8 36 0
"dh" 1 1 5 3 15 0
"dh" 2 2 1 7 33 0
"dh" 3 7 2 5 62 0
"dh" 3 1 3 1 21 0
"dh" 1 4 1 6 48 1
"dh" 4 6 4 2 29 0
"dh" 1 5 3 6 33 1
"dh" 2 6 1 2 30 0
"dh" 3 7 5 8 56 0
"dh" 1 6 5 4 33 0
"dh" 1 6 5 5 61 1
"dh" 4 2 4 6 34 0
"dh" 2 3 2 2 40 0
"dh" 4 1 2 6 35 0
"dh" 3 5 5 8 28 0
"dh" 3 1 5 5 38 0
"dh" 3 3 3 6 63 0
"dh" 1 1 2 8 33 0
"dh" 3 7 1 5 61 1
"dh" 1 3 2 7 56 0
"dh" 4 1 3 5 37 0
"dh" 1 4 3 1 15 0
