y,x1,x2,x3,x4,x5,x6,
-0.96981,0.036387,0.090556,0.10247,-0.47643,0.057116,-0.036653,
-2.0852,-0.034794,0.19898,-0.033697,-0.17361,0.020125,-0.40366,
-0.42529,-0.029918,0.050781,-0.015467,-0.013131,0.025445,-0.51253,
1.6006,0.035398,-0.056291,-0.035038,0.24575,-0.0054498,0.39248,
0.54198,-0.00049266,0.19142,0.061299,-0.30903,0.0030206,-0.0074546,
-1.9821,-0.079718,0.12057,0.061327,-0.041891,-0.00026954,-0.51474,
1.0221,0.016271,-0.011642,0.0072784,-0.15282,0.002424,0.17638,
1.1853,0.014217,0.090175,0.0015494,0.13803,-0.024867,0.20785,
1.5167,0.060645,-0.20295,-0.10065,0.17731,-0.026403,0.73638,
-0.55786,-0.076549,0.13382,-0.0055031,0.45417,-0.047904,0.6592,
-0.016239,-0.045497,0.022246,0.015026,-0.44515,0.063701,-1.4244,
-0.74728,0.066022,-0.2119,-0.051602,0.1137,0.0003581,0.49073,
0.1126,-0.075214,0.24785,-0.0092504,-0.1206,0.020281,-0.49884,
-1.9197,0.057522,-0.20991,-0.047528,-0.14531,-0.017724,-0.39575,
0.025134,0.038766,-0.11651,-0.023991,-0.045648,0.015251,-0.036101,
1.3787,-0.072948,0.1858,0.019143,0.2498,-0.013569,0.5047,
-0.22066,0.074749,-0.15304,0.010454,0.21408,0.024059,-0.59053,
0.060488,-0.11762,0.033077,-0.050606,0.22908,0.0016895,-0.51816,
0.6083,-0.052603,0.20027,0.086672,0.0083105,0.022871,-0.063242,
0.46509,0.0039724,0.24897,0.067479,-0.11846,0.035786,-0.036734,
2.0813,-0.019627,0.13581,0.10468,-0.34789,-0.0090697,0.72545,
-0.40952,-0.083464,0.29278,0.083431,-0.24057,0.038801,-0.80433,
-2.1711,-0.041078,0.014381,0.083292,-0.081408,0.020006,-0.68952,
1.7698,-0.081959,0.002003,0.0030526,0.05173,-0.012892,1.1634,
1.7505,0.029192,0.18652,0.021234,-0.03223,-0.0025749,0.53795,
0.46305,-0.099231,0.18322,0.013017,0.033805,-0.0071345,0.55626,
0.85641,0.0038781,0.045703,0.083136,-0.24711,-0.017551,0.0092177,
0.73326,0.078142,-0.12162,-0.049473,0.35095,-0.058355,0.40345,
1.2007,0.047991,-0.24436,-0.10499,0.47501,-0.044152,0.72838,
0.28866,-0.10637,0.12178,0.0095211,-0.067765,0.016946,-0.61762,
-1.3157,0.043933,-0.016515,-0.087254,0.30342,-0.042435,0.29436,
1.3926,-0.048633,0.17886,0.030284,0.10997,-0.0094941,0.088835,
-2.5792,-0.10685,0.39484,0.15434,-0.4147,0.039184,-1.329,
0.91989,0.015419,0.086558,-0.036326,0.15132,-0.033592,0.61986,
-1.3424,-0.060011,0.48358,0.10234,-0.32778,0.02604,-0.36198,
0.9847,-0.052403,0.24852,0.013376,0.11747,-0.043486,0.60675,
0.78135,0.15413,-0.20341,-0.0094091,0.0035145,0.0042054,0.23134,
-1.1088,0.092766,-0.33063,-0.046693,0.1818,-0.025779,0.29197,
0.73762,-0.075224,0.25188,0.078078,-0.36059,-0.016017,-0.034099,
-0.11836,0.027044,-0.086266,0.0067427,-0.090078,-0.010666,-0.4253,
1.7249,0.086874,-0.095811,-0.01788,0.21875,0.017217,0.21577,
0.55278,-0.014498,-0.16301,-0.040528,0.029742,-0.018642,0.64404,
-0.1257,0.022788,-0.11415,-0.081796,0.017416,0.0084081,-0.83045,
0.71419,0.053242,-0.22451,-0.069881,0.34442,-0.033157,0.73228,
0.9234,0.0063262,0.057558,0.086486,-0.040397,0.0024455,-0.16565,
-1.541,0.0044552,0.012319,0.044312,-0.067567,0.010384,-0.063862,
0.6891,-0.0041041,-0.085618,-0.10415,0.19666,-0.014165,0.3662,
0.44433,0.057673,-0.10952,0.029965,0.081489,0.04696,-0.91051,
1.086,-0.059689,0.14913,0.011555,0.36798,-0.014503,0.2477,
0.69618,0.014913,-0.014118,0.06324,0.0042062,0.0016184,0.31265,
0.88919,-0.024711,0.21318,0.093043,-0.22657,0.029507,-0.41664,
-0.29768,0.0082846,-0.18616,0.011795,0.033256,0.047067,-0.75466,
0.68843,-0.002995,0.12472,0.11403,-0.46109,0.038013,-0.033365,
-1.2307,-0.026469,-0.1077,-0.011584,0.10996,0.022309,0.35985,
0.76114,0.031524,-0.11141,-0.067875,0.033447,0.028111,-0.031709,
0.40791,-0.05061,-0.041303,0.012963,-0.2523,0.034896,-0.26391,
0.033127,0.08503,-0.09454,-0.017005,0.34043,-0.030623,-0.41575,
